"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"AcerNTCP4a_S290_L001"	"133 (67 uniques)"	"126 (6 uniques)"	"112 (5 uniques)"
"Apal257_S375_L001"	"6752 (1574 uniques)"	"6708 (33 uniques)"	"6628 (24 uniques)"
"Apal270_S378_L001"	"18457 (2527 uniques)"	"18380 (26 uniques)"	"18293 (19 uniques)"
"Apal288_S373_L001"	"10413 (1843 uniques)"	"10381 (26 uniques)"	"10320 (21 uniques)"
"Apal297_S383_L001"	"986 (299 uniques)"	"952 (7 uniques)"	"946 (5 uniques)"
"Apal305_S384_L001"	"426 (159 uniques)"	"410 (5 uniques)"	"406 (4 uniques)"
"Apal307_S381_L001"	"1245 (352 uniques)"	"1235 (10 uniques)"	"1200 (4 uniques)"
"Apal313_S376_L001"	"5170 (1735 uniques)"	"5113 (98 uniques)"	"4866 (69 uniques)"
"Apal315_S374_L001"	"13571 (3015 uniques)"	"13491 (119 uniques)"	"12940 (89 uniques)"
"Apal350_S382_L001"	"565 (218 uniques)"	"534 (7 uniques)"	"528 (5 uniques)"
"Apal353_S380_L001"	"14813 (2378 uniques)"	"14711 (61 uniques)"	"14554 (43 uniques)"
"Apal367_S377_L001"	"7668 (1590 uniques)"	"7611 (35 uniques)"	"7507 (25 uniques)"
"Apal380_S379_L001"	"6150 (1338 uniques)"	"6112 (20 uniques)"	"6053 (11 uniques)"
