"","AcerNTCP4a_S290_L001","Apal257_S375_L001","Apal270_S378_L001","Apal288_S373_L001","Apal297_S383_L001","Apal305_S384_L001","Apal307_S381_L001","Apal313_S376_L001","Apal315_S374_L001","Apal350_S382_L001","Apal353_S380_L001","Apal367_S377_L001","Apal380_S379_L001"
"AcerNTCP4a_S290_L001",0,0.718040877077254,0.803170981951032,0.797399405835422,0.805933050800295,0.825981396726372,0.80517991971299,0.733815291847604,0.706142891662697,0.700691832144728,0.798939192279616,0.743244606106501,0.802855759148028
"Apal257_S375_L001",0.718040877077254,0,0.558416016135093,0.540618359943546,0.5314537665806,0.434474482130981,0.549754496278458,0.410114704148299,0.423858267441205,0.57266213442686,0.529039747750643,0.517056668867221,0.54607938185793
"Apal270_S378_L001",0.803170981951032,0.558416016135093,0,0.0699808300829773,0.0359775187333417,0.471208584816392,0.0179871425395404,0.710547706644069,0.652673802968573,0.568721084981795,0.0391248336780543,0.6707871457265,0.0160407564246433
"Apal288_S373_L001",0.797399405835422,0.540618359943546,0.0699808300829773,0,0.0610799214134026,0.465993505742772,0.0646806582250953,0.652244613043692,0.623670646142493,0.568568528801055,0.0597019298421354,0.659051423259043,0.066052135770632
"Apal297_S383_L001",0.805933050800295,0.5314537665806,0.0359775187333417,0.0610799214134026,0,0.457627307683762,0.0203804117947765,0.678900424364684,0.636099750209287,0.572944057313766,0.0425839078354105,0.660088739145573,0.0325848922096401
"Apal305_S384_L001",0.825981396726372,0.434474482130981,0.471208584816392,0.465993505742772,0.457627307683762,0,0.465777413039921,0.63319015511706,0.620262677182615,0.679013702387407,0.468293005925504,0.684673458986457,0.469536796280667
"Apal307_S381_L001",0.80517991971299,0.549754496278458,0.0179871425395404,0.0646806582250953,0.0203804117947765,0.465777413039921,0,0.698472793978687,0.646214584595316,0.57135652206777,0.0369656086188106,0.667707661770893,0.0179879498218031
"Apal313_S376_L001",0.733815291847604,0.410114704148299,0.710547706644069,0.652244613043692,0.678900424364684,0.63319015511706,0.698472793978687,0,0.337780378149724,0.515998107840005,0.677128358427244,0.40319150441121,0.69796388085173
"Apal315_S374_L001",0.706142891662697,0.423858267441205,0.652673802968573,0.623670646142493,0.636099750209287,0.620262677182615,0.646214584595316,0.337780378149724,0,0.580070022730015,0.624755394328185,0.396269555773719,0.64281503933757
"Apal350_S382_L001",0.700691832144728,0.57266213442686,0.568721084981795,0.568568528801055,0.572944057313766,0.679013702387407,0.57135652206777,0.515998107840005,0.580070022730015,0,0.549411870180289,0.492186284913167,0.5606946014887
"Apal353_S380_L001",0.798939192279616,0.529039747750643,0.0391248336780543,0.0597019298421354,0.0425839078354105,0.468293005925504,0.0369656086188106,0.677128358427244,0.624755394328185,0.549411870180289,0,0.645238534194428,0.0268857907308586
"Apal367_S377_L001",0.743244606106501,0.517056668867221,0.6707871457265,0.659051423259043,0.660088739145573,0.684673458986457,0.667707661770893,0.40319150441121,0.396269555773719,0.492186284913167,0.645238534194428,0,0.662408875445533
"Apal380_S379_L001",0.802855759148028,0.54607938185793,0.0160407564246433,0.066052135770632,0.0325848922096401,0.469536796280667,0.0179879498218031,0.69796388085173,0.64281503933757,0.5606946014887,0.0268857907308586,0.662408875445533,0
