	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_100	9-TaxaFilter_100	10-MultipletonsFilter_100	11-Subsampling	12-Lulu_100
AcerNTCP4a_S290_L001	177	133	133	133 (67 uniques)	126 (6 uniques)	112 (5 uniques)	112 (5 uniques)	112 (5 uniques)	112 (5 uniques)	112 (5 uniques)	112 (5 uniques)	112 (5 uniques)	112 (5 uniques)	112 (5 uniques)
Apal257_S375_L001	10169	6752	6752	6752 (1574 uniques)	6708 (33 uniques)	6628 (24 uniques)	6544 (23 uniques)	6544 (23 uniques)	6544 (23 uniques)	6544 (23 uniques)	436 (18 uniques)	436 (18 uniques)	436 (18 uniques)	436 (18 uniques)
Apal270_S378_L001	23206	18457	18457	18457 (2527 uniques)	18380 (26 uniques)	18293 (19 uniques)	18293 (19 uniques)	18282 (18 uniques)	18282 (18 uniques)	18282 (18 uniques)	16295 (16 uniques)	16295 (16 uniques)	16295 (16 uniques)	16295 (16 uniques)
Apal288_S373_L001	13332	10413	10413	10413 (1843 uniques)	10381 (26 uniques)	10320 (21 uniques)	10252 (20 uniques)	10252 (20 uniques)	10252 (20 uniques)	10252 (20 uniques)	8351 (17 uniques)	8351 (17 uniques)	8351 (17 uniques)	8351 (17 uniques)
Apal297_S383_L001	1362	986	986	986 (299 uniques)	952 (7 uniques)	946 (5 uniques)	946 (5 uniques)	946 (5 uniques)	946 (5 uniques)	946 (5 uniques)	514 (3 uniques)	514 (3 uniques)	514 (3 uniques)	514 (3 uniques)
Apal305_S384_L001	582	426	426	426 (159 uniques)	410 (5 uniques)	406 (4 uniques)	406 (4 uniques)	406 (4 uniques)	406 (4 uniques)	406 (4 uniques)	14 (2 uniques)	14 (2 uniques)	14 (2 uniques)	14 (2 uniques)
Apal307_S381_L001	1756	1245	1245	1245 (352 uniques)	1235 (10 uniques)	1200 (4 uniques)	1200 (4 uniques)	1200 (4 uniques)	1200 (4 uniques)	1200 (4 uniques)	681 (3 uniques)	681 (3 uniques)	681 (3 uniques)	681 (3 uniques)
Apal313_S376_L001	7645	5170	5170	5170 (1735 uniques)	5113 (98 uniques)	4866 (69 uniques)	4815 (68 uniques)	4815 (68 uniques)	4815 (68 uniques)	4815 (68 uniques)	1710 (59 uniques)	1710 (59 uniques)	1710 (59 uniques)	1710 (58 uniques)
Apal315_S374_L001	20291	13571	13571	13571 (3015 uniques)	13491 (119 uniques)	12940 (89 uniques)	12912 (88 uniques)	12912 (88 uniques)	12912 (88 uniques)	12912 (88 uniques)	1871 (76 uniques)	1869 (75 uniques)	1869 (75 uniques)	1869 (72 uniques)
Apal350_S382_L001	858	565	565	565 (218 uniques)	534 (7 uniques)	528 (5 uniques)	516 (4 uniques)	516 (4 uniques)	516 (4 uniques)	516 (4 uniques)	48 (3 uniques)	48 (3 uniques)	48 (3 uniques)	48 (3 uniques)
Apal353_S380_L001	18260	14813	14813	14813 (2378 uniques)	14711 (61 uniques)	14554 (43 uniques)	14432 (41 uniques)	14417 (40 uniques)	14417 (40 uniques)	14417 (40 uniques)	13243 (35 uniques)	13243 (35 uniques)	13243 (35 uniques)	13243 (35 uniques)
Apal367_S377_L001	10838	7668	7668	7668 (1590 uniques)	7611 (35 uniques)	7507 (25 uniques)	7454 (24 uniques)	7454 (24 uniques)	7454 (24 uniques)	7454 (24 uniques)	406 (20 uniques)	406 (20 uniques)	406 (20 uniques)	406 (20 uniques)
Apal380_S379_L001	8888	6150	6150	6150 (1338 uniques)	6112 (20 uniques)	6053 (11 uniques)	6053 (11 uniques)	6027 (10 uniques)	6027 (10 uniques)	6027 (10 uniques)	2275 (7 uniques)	2275 (7 uniques)	2275 (7 uniques)	2275 (7 uniques)
